ID,Word List,Category,English,Male' - Latin,Male' - Thaana,Addu - Latin,Addu - Thaana,Huvadhu - Latin,Huvadhu - Thaana,Fuvahmulah - Latin,Fuvahmulah - Thaana,Sinhala,Malayalam,Arabic,Notes
SW100-071,Swadesh 100,Oral Activities,say,Bunun,ބުނުން,Bunun,ބުނުން,Bunun,ބުނުން,,,Kiyanavā,Paṟayuka,Qāla,
SW100-072,Swadesh 100,Body Sensations & Activities,see,Belun,ބެލުން,Belun,ބެލުން,Belun,ބެލުން,,,Dakinavā,Kāṇuka,Raā,
SW100-073,Swadesh 100,Plants & Plant Parts,seed,Osh,އޮށް,Osh,އޮށް,Osh,އޮށް,,,Bīja,Vitt / Kuru,,
SW100-074,Swadesh 100,Position & Movement,sit,Isheenun,އިށީނުން,Isheenun,އިށީނުން,Isheenun,އިށީނުން,,,Igannavā,Irikkuka,Jalasa,
SW100-075,Swadesh 100,Body Parts & Substances,skin,Han,ހަން,Han,ހަން,Han,ހަން,,,Ham,Tòli,Jilda,
SW100-076,Swadesh 100,Body Sensations & Activities,sleep,Nidhun,ނިދުން,Nidhun,ނިދުން,Nidhun,ނިދުން,,,Nidāgannavā,Uṟaṅṅuka,Nāma,
SW100-077,Swadesh 100,Size,small,Kuda,ކުޑަ,Kuda,ކުޑަ,Kuda,ކުޑަ,,,Puṃci / Kuḍā,Cèṟiya,S̈aġīra,
SW100-078,Swadesh 100,Natural Objects & Phenomena,smoke,Dhun,ދުން,Dhun,ދުން,Dhun,ދުން,,,Duma,Puka,,
SW100-079,Swadesh 100,Position & Movement,stand,Kolhahurun,ކޮޅައްހުރުން,Kolhahurun,ކޮޅައްހުރުން,Kolhahurun,ކޮޅައްހުރުން,,,Hiṭagannavā,Nilkkuka,V̈aqafa,
SW100-080,Swadesh 100,Natural Objects & Phenomena,star,Thari,ތަރި,Thari,ތަރި,Thari,ތަރި,,,Taru,Nakṣatraṃ / Tāraṃ / Mīn,,
SW100-081,Swadesh 100,Natural Objects & Phenomena,stone,Gaa,ގާ,Gaa,ގާ,Gaa,ގާ,,,Gala,Kall,Ḧajara,
SW100-082,Swadesh 100,Natural Objects & Phenomena,sun,Iru,އިރު,Iro,އިރޮ,Ira,އިރަ,,,Iru,,Śamsa,
SW100-083,Swadesh 100,Position & Movement,swim,Fethun,ފެތުން,Fethun,ފެތުން,Fethun,ފެތުން,,,Pīnanavā,Nīntuka,,
SW100-084,Swadesh 100,Body Parts & Substances,tail,Nagoo,ނަގޫ,Nagoo,ނަގޫ,Nagoo,ނަގޫ,,,Valigaya,Vāl,Dḧanaba,
SW100-085,Swadesh 100,Location & Deixis,that,E,އެ,E,އެ,E,އެ,,,E / Ara / Òya,At,,
SW100-086,Swadesh 100,Location & Deixis,this,Mi,މި,Mi,މި,Mi,މި,,,Me,It,,
