ID,Word List,Category,English,Male'_Word,Male_vs_Addu_Best_Pair,Male_vs_Addu_Raw_Dist,Male_vs_Addu_Norm_Dist,Male_vs_Addu_Sim_Pct,Male_vs_Huvadhu_Best_Pair,Male_vs_Huvadhu_Raw_Dist,Male_vs_Huvadhu_Norm_Dist,Male_vs_Huvadhu_Sim_Pct,Male_vs_Fuvahmulah_Best_Pair,Male_vs_Fuvahmulah_Raw_Dist,Male_vs_Fuvahmulah_Norm_Dist,Male_vs_Fuvahmulah_Sim_Pct,Male_vs_Maliku_Best_Pair,Male_vs_Maliku_Raw_Dist,Male_vs_Maliku_Norm_Dist,Male_vs_Maliku_Sim_Pct,Male_vs_Sinhala_Best_Pair,Male_vs_Sinhala_Raw_Dist,Male_vs_Sinhala_Norm_Dist,Male_vs_Sinhala_Sim_Pct,Male_vs_Malayalam_Best_Pair,Male_vs_Malayalam_Raw_Dist,Male_vs_Malayalam_Norm_Dist,Male_vs_Malayalam_Sim_Pct,Male_vs_Arabic_Best_Pair,Male_vs_Arabic_Raw_Dist,Male_vs_Arabic_Norm_Dist,Male_vs_Arabic_Sim_Pct,Male_Closest_Dhivehi_Dialect,Male_Closest_Dhivehi_Sim_Pct,Male_Closest_Dhivehi_Raw_Dist,Male_Closest_Foreign_Lang,Male_Closest_Foreign_Sim_Pct,Male_Closest_Foreign_Raw_Dist,Male_Is_Dhivehi_Dialect_Closer,Addu_vs_Huvadhu_Best_Pair,Addu_vs_Huvadhu_Raw_Dist,Addu_vs_Huvadhu_Norm_Dist,Addu_vs_Huvadhu_Sim_Pct,Addu_vs_Fuvahmulah_Best_Pair,Addu_vs_Fuvahmulah_Raw_Dist,Addu_vs_Fuvahmulah_Norm_Dist,Addu_vs_Fuvahmulah_Sim_Pct,Addu_vs_Maliku_Best_Pair,Addu_vs_Maliku_Raw_Dist,Addu_vs_Maliku_Norm_Dist,Addu_vs_Maliku_Sim_Pct,Huvadhu_vs_Fuvahmulah_Best_Pair,Huvadhu_vs_Fuvahmulah_Raw_Dist,Huvadhu_vs_Fuvahmulah_Norm_Dist,Huvadhu_vs_Fuvahmulah_Sim_Pct,Huvadhu_vs_Maliku_Best_Pair,Huvadhu_vs_Maliku_Raw_Dist,Huvadhu_vs_Maliku_Norm_Dist,Huvadhu_vs_Maliku_Sim_Pct,Fuvahmulah_vs_Maliku_Best_Pair,Fuvahmulah_vs_Maliku_Raw_Dist,Fuvahmulah_vs_Maliku_Norm_Dist,Fuvahmulah_vs_Maliku_Sim_Pct,Overall_Closest_Dhivehi_Pair,Overall_Closest_Dhivehi_Sim_Pct,Overall_Closest_Dhivehi_Words
SW100-021,Swadesh 100,Body Parts & Substances,ear,Kanfai,Kanfai ~ Kanfah,1,0.1667,83.33,Kanfai ~ Kanahathaa,6,0.6,40.0,,,,,,,,,Kanfai ~ Kana,2,0.3333,66.67,Kanfai ~ Cèvi,5,0.8333,16.67,,,,,Addu,83.33,1,Sinhala,66.67,2,Yes (Dialect closer),Kanfah ~ Kanahathaa,5,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,83.33,Kanfai ~ Kanfah
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Dhuniye,Dhuniye ~ Dhuniye,0,0.0,100.0,Dhuniye ~ Dhuniyea,1,0.125,87.5,,,,,,,,,Dhuniye ~ Pòḻòva,7,1.0,0.0,Dhuniye ~ Bhūmi,5,0.7143,28.57,Dhuniye ~ Ard̈a,7,1.0,0.0,Addu,100.0,0,Malayalam,28.57,5,Yes (Dialect closer),Dhuniye ~ Dhuniyea,1,0.125,87.5,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Dhuniye ~ Dhuniye
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Keun,Keun ~ Keun,0,0.0,100.0,,,,,,,,,,,,,Keun ~ Kanavā,5,0.8333,16.67,Keun ~ Kal̤ikkuka,8,0.8,20.0,Keun ~ Akala,4,0.8,20.0,Addu,100.0,0,Malayalam/Arabic,20.0,8,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Keun ~ Keun
SW100-024,Swadesh 100,Body Parts & Substances,egg,Bis,Bis ~ Bis,0,0.0,100.0,Bis ~ Bihe,2,0.5,50.0,,,,,,,,,Bis ~ Bittaraya,7,0.7778,22.22,Bis ~ Muṭṭa,5,1.0,0.0,Bis ~ Baid̈aha,6,0.75,25.0,Addu,100.0,0,Arabic,25.0,6,Yes (Dialect closer),Bis ~ Bihe,2,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Bis ~ Bis
SW100-025,Swadesh 100,Body Parts & Substances,eye,Loa,Loa ~ Loa,0,0.0,100.0,Loa ~ Lola,1,0.25,75.0,,,,,,,,,Loa ~ Sa,2,0.6667,33.33,,,,,Loa ~ Äaina,5,0.8333,16.67,Addu,100.0,0,Sinhala,33.33,2,Yes (Dialect closer),Loa ~ Lola,1,0.25,75.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Loa ~ Loa
SW100-026,Swadesh 100,Body Parts & Substances,fat (grease),Sarubee,Sarubee ~ Sarabi,3,0.4286,57.14,,,,,,,,,,,,,Sarubee ~ Meda,7,1.0,0.0,Sarubee ~ Kòl̤upp,7,1.0,0.0,Sarubee ~ Duhna,6,0.8571,14.29,Addu,57.14,3,Arabic,14.29,6,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,57.14,Sarubee ~ Sarabi
SW100-027,Swadesh 100,Body Parts & Substances,feather,Dhoonifai,Dhoonifai ~ Dheeni Fah,4,0.4,60.0,,,,,,,,,,,,,Dhoonifai ~ Pihāṭu,9,1.0,0.0,Dhoonifai ~ Tūval,8,0.8889,11.11,Dhoonifai ~ Rīśaha,8,0.8889,11.11,Addu,60.0,4,Malayalam/Arabic,11.11,8,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,60.0,Dhoonifai ~ Dheeni Fah
SW100-028,Swadesh 100,Natural Objects & Phenomena,fire,Alifaan,Alifaan ~ Alifaan,0,0.0,100.0,Alifaan ~ Alifaane,1,0.125,87.5,,,,,,,,,Alifaan ~ Gini,6,0.8571,14.29,,,,,Alifaan ~ Nāra,6,0.8571,14.29,Addu,100.0,0,Sinhala/Arabic,14.29,6,Yes (Dialect closer),Alifaan ~ Alifaane,1,0.125,87.5,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Alifaan ~ Alifaan
SW100-029,Swadesh 100,Animals,fish,Mas,Mas ~ Mas,0,0.0,100.0,Mas ~ Mahe,2,0.5,50.0,,,,,,,,,Mas ~ Māḻuvā,5,0.8333,16.67,Mas ~ Matsyaṃ,4,0.5714,42.86,,,,,Addu,100.0,0,Malayalam,42.86,4,Yes (Dialect closer),Mas ~ Mahe,2,0.5,50.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Mas ~ Mas
SW100-030,Swadesh 100,Position & Movement,fly,Udhuhun,Udhuhun ~ Udhuhun,0,0.0,100.0,,,,,,,,,,,,,Udhuhun ~ Piyanavā,8,1.0,0.0,Udhuhun ~ Paṟakkuka,8,0.8889,11.11,Udhuhun ~ T̈aāra,7,1.0,0.0,Addu,100.0,0,Malayalam,11.11,8,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Udhuhun ~ Udhuhun
SW100-031,Swadesh 100,Body Parts & Substances,foot,Faithila,Faithila ~ Faa,5,0.625,37.5,,,,,,,,,,,,,Faithila ~ Kakula,5,0.625,37.5,Faithila ~ Kālaṭi,7,0.875,12.5,Faithila ~ Qadama,6,0.75,25.0,Addu,37.5,5,Sinhala,37.5,5,Equal,,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,37.5,Faithila ~ Faa
SW100-032,Swadesh 100,Quantitatives,full,Furifai,Furifai ~ Furifei,1,0.1429,85.71,,,,,,,,,,,,,Furifai ~ Pura,4,0.5714,42.86,Furifai ~ Niṟañña,7,1.0,0.0,Furifai ~ Mumtaliˀya,8,0.8,20.0,Addu,85.71,1,Sinhala,42.86,4,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,85.71,Furifai ~ Furifei
SW100-033,Swadesh 100,Position & Movement,give,Dhinun,Dhinun ~ Dhinun,0,0.0,100.0,,,,,,,,,,,,,Dhinun ~ Dènavā,5,0.8333,16.67,Dhinun ~ Nalkuka,6,0.8571,14.29,Dhinun ~ Aä​ẗaā,8,1.0,0.0,Addu,100.0,0,Sinhala,16.67,5,Yes (Dialect closer),,,,,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,100.0,Dhinun ~ Dhinun
SW100-034,Swadesh 100,Descriptives,good,Rangalhu,Rangalhu ~ Rangalha,1,0.125,87.5,Rangalhu ~ Ragalhe,2,0.25,75.0,,,,,,,,,Rangalhu ~ Hò,7,0.875,12.5,Rangalhu ~ Nalla,5,0.625,37.5,Rangalhu ~ T̈aayyiba,8,0.8889,11.11,Addu,87.5,1,Malayalam,37.5,5,Yes (Dialect closer),Rangalha ~ Ragalhe,2,0.25,75.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu,87.5,Rangalhu ~ Rangalha
SW100-035,Swadesh 100,Colors,green,Fehi,Fehi ~ Fehi,0,0.0,100.0,Fehi ~ Fehi,0,0.0,100.0,,,,,,,,,Fehi ~ Kòḻa,4,1.0,0.0,Fehi ~ Pacca,5,1.0,0.0,,,,,Addu/Huvadhu,100.0,0,Sinhala/Malayalam,0.0,4,Yes (Dialect closer),Fehi ~ Fehi,0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,Male' ⟷ Addu / Male' ⟷ Huvadhu / Addu ⟷ Huvadhu,100.0,Fehi ~ Fehi / Fehi ~ Fehi / Fehi ~ Fehi
