ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-010,Swadesh 100,Body Parts & Substances,bone,Addu,Arabic,Kashi,Äjḧma,6,0.8571,14.29,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Huvadhu,Sinhala,Kantaa,Kaṭu,4,0.6667,33.33,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Huvadhu,Malayalam,Kantaa,Asthi,4,0.6667,33.33,No
SW100-010,Swadesh 100,Body Parts & Substances,bone,Huvadhu,Arabic,Kantaa,Äjḧma,6,0.8571,14.29,No
SW100-012,Swadesh 100,Miscellaneous,burn,Male',Addu,Endhun,Endhun,0,0.0,100.0,Yes
SW100-012,Swadesh 100,Miscellaneous,burn,Male',Huvadhu,Endhun,Edhaa,3,0.5,50.0,Yes
SW100-012,Swadesh 100,Miscellaneous,burn,Male',Sinhala,Endhun,Puccanavā,8,0.8889,11.11,No
SW100-012,Swadesh 100,Miscellaneous,burn,Male',Malayalam,Endhun,Kattikkuka,9,0.9,10.0,No
SW100-012,Swadesh 100,Miscellaneous,burn,Male',Arabic,Endhun,Ḧaraqa,7,1.0,0.0,No
SW100-012,Swadesh 100,Miscellaneous,burn,Addu,Huvadhu,Endhun,Edhaa,3,0.5,50.0,Yes
SW100-012,Swadesh 100,Miscellaneous,burn,Addu,Sinhala,Endhun,Puccanavā,8,0.8889,11.11,No
SW100-012,Swadesh 100,Miscellaneous,burn,Addu,Malayalam,Endhun,Kattikkuka,9,0.9,10.0,No
SW100-012,Swadesh 100,Miscellaneous,burn,Addu,Arabic,Endhun,Ḧaraqa,7,1.0,0.0,No
SW100-012,Swadesh 100,Miscellaneous,burn,Huvadhu,Sinhala,Edhaa,Puccanavā,7,0.7778,22.22,No
SW100-012,Swadesh 100,Miscellaneous,burn,Huvadhu,Malayalam,Edhaa,Kattikkuka,9,0.9,10.0,No
SW100-012,Swadesh 100,Miscellaneous,burn,Huvadhu,Arabic,Edhaa,Ḧaraqa,5,0.7143,28.57,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Male',Addu,Niyafai,Niyafah,1,0.1429,85.71,Yes
SW100-013,Swadesh 100,Body Parts & Substances,claw,Male',Sinhala,Niyafai,Niyapòtu,4,0.5,50.0,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Male',Malayalam,Niyafai,Nakhaṃ,5,0.7143,28.57,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Male',Arabic,Niyafai,Jḧufra,6,0.8571,14.29,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Addu,Sinhala,Niyafah,Niyapòtu,4,0.5,50.0,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Addu,Malayalam,Niyafah,Nakhaṃ,5,0.7143,28.57,No
SW100-013,Swadesh 100,Body Parts & Substances,claw,Addu,Arabic,Bulhi,Jḧufra,6,0.8571,14.29,No
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Male',Addu,Vilaa,Kolhi,4,0.8,20.0,Yes
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Male',Huvadhu,Vilaa,Velaa,1,0.2,80.0,Yes
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Male',Sinhala,Vilaa,Valākuḻa,5,0.625,37.5,No
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Male',Malayalam,Vilaa,Meghaṃ,5,0.8333,16.67,No
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Addu,Huvadhu,Kolhi,Velaa,4,0.8,20.0,Yes
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Addu,Sinhala,Kolhi,Valākuḻa,7,0.875,12.5,No
SW100-014,Swadesh 100,Natural Objects & Phenomena,cloud,Addu,Malayalam,Kolhi,Meghaṃ,5,0.8333,16.67,No
